//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
15          3      0       0     0       0      2	     0
15          10     0       0     0       0      2	     0
15          2      0       0     0       0      2	     0
15          1      0       0     0       0      2	     0
//15          5      0       0     0       0      2	     0// Teleport
15          6      0       0     0       0      2	     0
//15          0      0       0     0       0      2	     0// Poison
// se repiten 3 libros 
15          3      0       0     0       0      2	     0
15          10     0       0     0       0      2	     0
15          2      0       0     0       0      2	     0

7           2      0       0     0       0      2	     0
8           2      0       0     0       0      2	     0
9           2      0       0     0       0      2	     0
10          2      0       0     0       0      2	     0
11          2      0       0     0       0      2	     0
7           4      2       0     0       0      2	     0
8           4      2       0     0       0      2	     0
9           4      2       0     0       0      2	     0
10          4      2       0     0       0      2	     0
11          4      2       0     0       0      2	     0
7           7      3       0     0       0      2	     0
8           7      3       0     0       0      2	     0
9           7      3       0     0       0      2	     0
10          7      3       0     0       0      2	     0
11          7      3       0     0       0      2	     0
5           3      3       0     0       0      2	     0
5           0      0       0     0       0      2	     0
5           1      2       0     0       0      2	     0
5           2      3       0     0       0      2	     0





end

