0
//EventName             DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Blood Castle 2"	1000      100		 1		 0		   0		  0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          15     0          0          0       0      0        0 //Jewel of Chaos 
12          15     0          0          0       0      0        0 //Jewel of Chaos 
12          15     0          0          0       0      0        0 //Jewel of Chaos 
12          15     0          0          0       0      0        0 //Jewel of Chaos 
12          15     0          0          0       0      0        0 //Jewel of Chaos 
14          13     0          0          0       0      0        0 //Jewel of Bless  
14          13     0          0          0       0      0        0 //Jewel of Bless  
14          13     0          0          0       0      0        0 //Jewel of Bless  
14          13     0          0          0       0      0        0 //Jewel of Bless  
14          13     0          0          0       0      0        0 //Jewel of Bless  
14          13     0          0          0       0      0        0 //Jewel of Bless  
14          14     0          0          0       0      0        0 //Jewel of Soul 
14          14     0          0          0       0      0        0 //Jewel of Soul   
14          14     0          0          0       0      0        0 //Jewel of Soul 
14          14     0          0          0       0      0        0 //Jewel of Soul 
14          14     0          0          0       0      0        0 //Jewel of Soul 
14          14     0          0          0       0      0        0 //Jewel of Soul 
14          22     0          0          0       0      0        0 //Jewel of Creation 
14          16     0          0          0       0      0        0 //Jewel of Life 
14          16     0          0          0       0      0        0 //Jewel of Life 
14          16     0          0          0       0      0        0 //Jewel of Life 
14          41     0          0          0       0      0        0 //Gemstone  
14          41     0          0          0       0      0        0 //Gemstone  
14          42     0          0          0       0      0        0 //Jewel of harmony 
14          42     0          0          0       0      0        0 //Jewel of harmony 
14          31     0          0          0       0      0        0 //Jewel of Guardian 
14          31     0          0          0       0      0        0 //Jewel of Guardian 
13          76     0          0          0       0      0        0 //Panda Ring
13          77     0          0          0       0      0        0 //Panda Brown Ring 
13          78     0          0          0       0      0        0 //Panda Purple Ring 
13          80     0          0          0       0      0        0 //Panda Pet 
end
